date,sym,side,start-time,end-time,volume
2023/9/4,300105.SZ,BUY,z 09:30:00,z 09:40:00,12300
2023/9/4,300118.SZ,BUY,z 09:30:00,z 09:40:00,78000
2023/9/4,300123.SZ,SELL,z 09:30:00,z 09:39:30,111000
2023/9/4,300232.SZ,BUY,z 09:30:00,z 09:40:00,27700
2023/9/4,300253.SZ,SELL,z 09:30:00,z 09:39:30,51100
2023/9/4,300308.SZ,BUY,z 09:30:00,z 09:40:00,900
2023/9/4,300314.SZ,SELL,z 09:30:00,z 09:39:30,6300
2023/9/4,300316.SZ,BUY,z 09:30:00,z 09:40:00,15300
2023/9/4,300383.SZ,BUY,z 09:30:00,z 09:40:00,125100
2023/9/4,300389.SZ,BUY,z 09:30:00,z 09:40:00,25200
2023/9/4,300414.SZ,SELL,z 09:30:00,z 09:39:30,31200
2023/9/4,300433.SZ,SELL,z 09:30:00,z 09:39:30,14700
2023/9/4,300450.SZ,BUY,z 09:30:00,z 09:40:00,18900
2023/9/4,300457.SZ,BUY,z 09:30:00,z 09:40:00,9200
2023/9/4,300487.SZ,SELL,z 09:30:00,z 09:39:30,45000
2023/9/4,300552.SZ,BUY,z 09:30:00,z 09:40:00,4000
2023/9/4,300556.SZ,BUY,z 09:30:00,z 09:40:00,11300
2023/9/4,300577.SZ,SELL,z 09:30:00,z 09:39:30,16200
2023/9/4,300588.SZ,SELL,z 09:30:00,z 09:39:30,100
2023/9/4,300592.SZ,SELL,z 09:30:00,z 09:39:30,2200
2023/9/4,300622.SZ,BUY,z 09:30:00,z 09:40:00,1500
2023/9/4,300672.SZ,SELL,z 09:30:00,z 09:39:30,18700
2023/9/4,300691.SZ,SELL,z 09:30:00,z 09:39:30,25000
2023/9/4,300697.SZ,SELL,z 09:30:00,z 09:39:30,6500
2023/9/4,300708.SZ,SELL,z 09:30:00,z 09:39:30,22000
2023/9/4,300724.SZ,BUY,z 09:30:00,z 09:40:00,9300
2023/9/4,300760.SZ,BUY,z 09:30:00,z 09:40:00,8300
2023/9/4,300777.SZ,SELL,z 09:30:00,z 09:39:30,47500
2023/9/4,300805.SZ,BUY,z 09:30:00,z 09:40:00,24300
2023/9/4,300919.SZ,BUY,z 09:30:00,z 09:40:00,52500
2023/9/4,301015.SZ,BUY,z 09:30:00,z 09:40:00,38500
2023/9/4,301103.SZ,SELL,z 09:30:00,z 09:39:30,1300
2023/9/4,301185.SZ,BUY,z 09:30:00,z 09:40:00,4400
2023/9/4,301227.SZ,BUY,z 09:30:00,z 09:40:00,8200
2023/9/4,301358.SZ,BUY,z 09:30:00,z 09:40:00,14900
2023/9/4,301363.SZ,SELL,z 09:30:00,z 09:39:30,6300
2023/9/4,301379.SZ,SELL,z 09:30:00,z 09:39:30,22100
2023/9/4,301419.SZ,BUY,z 09:30:00,z 09:40:00,3200
2023/9/4,301439.SZ,BUY,z 09:30:00,z 09:40:00,25400
2023/9/4,600007.SH,BUY,z 09:30:00,z 09:40:00,46600
2023/9/4,600027.SH,BUY,z 09:30:00,z 09:40:00,187700
2023/9/4,600050.SH,BUY,z 09:30:00,z 09:40:00,49200
2023/9/4,600066.SH,BUY,z 09:30:00,z 09:40:00,40500
2023/9/4,600104.SH,BUY,z 09:30:00,z 09:40:00,194600
2023/9/4,600143.SH,SELL,z 09:30:00,z 09:49:30,421800
2023/9/4,600196.SH,SELL,z 09:30:00,z 09:39:30,52700
2023/9/4,600221.SH,SELL,z 09:30:00,z 09:39:30,209900
2023/9/4,600285.SH,BUY,z 09:30:00,z 09:40:00,18100
2023/9/4,600316.SH,BUY,z 09:30:00,z 09:40:00,39000
2023/9/4,600418.SH,SELL,z 09:30:00,z 09:39:30,59500
2023/9/4,600459.SH,BUY,z 09:30:00,z 09:40:00,130600
2023/9/4,600487.SH,BUY,z 09:30:00,z 09:40:00,40900
2023/9/4,600489.SH,BUY,z 09:30:00,z 09:40:00,81400
2023/9/4,600519.SH,BUY,z 09:30:00,z 09:40:00,300
2023/9/4,600528.SH,BUY,z 09:30:00,z 09:40:00,8200
2023/9/4,600566.SH,BUY,z 09:30:00,z 09:40:00,15000
2023/9/4,600576.SH,SELL,z 09:30:00,z 09:39:30,106300
2023/9/4,600611.SH,BUY,z 09:30:00,z 09:40:00,379700
2023/9/4,600637.SH,SELL,z 09:30:00,z 09:39:30,442100
2023/9/4,600642.SH,BUY,z 09:30:00,z 09:40:00,312000
2023/9/4,600650.SH,BUY,z 09:30:00,z 10:10:00,92000
2023/9/4,600667.SH,BUY,z 09:30:00,z 09:40:00,225200
2023/9/4,600761.SH,BUY,z 09:30:00,z 09:40:00,11400
2023/9/4,600824.SH,BUY,z 09:30:00,z 09:40:00,16500
2023/9/4,600826.SH,BUY,z 09:30:00,z 09:40:00,33500
2023/9/4,600827.SH,BUY,z 09:30:00,z 09:40:00,12500
2023/9/4,600875.SH,BUY,z 09:30:00,z 09:40:00,56400
2023/9/4,600897.SH,SELL,z 09:30:00,z 09:39:30,19856
2023/9/4,600919.SH,SELL,z 09:30:00,z 09:39:30,49200
2023/9/4,600985.SH,SELL,z 09:30:00,z 09:39:30,272300
2023/9/4,600995.SH,SELL,z 09:30:00,z 09:39:30,10700
2023/9/4,600999.SH,SELL,z 09:30:00,z 09:39:30,189000
2023/9/4,601006.SH,SELL,z 09:30:00,z 09:39:30,86500
2023/9/4,601021.SH,SELL,z 09:30:00,z 09:39:30,33100
2023/9/4,601022.SH,SELL,z 09:30:00,z 09:39:30,64457
