,date,sym,side,start-time,end-time,volume
426,2023/9/4,605319.SH,SELL,z 09:30:00,z 09:39:30,45100
428,2023/9/4,688006.SH,SELL,z 09:30:00,z 09:39:30,43600
429,2023/9/4,688019.SH,SELL,z 09:30:00,z 09:39:30,2200
430,2023/9/4,688021.SH,SELL,z 09:30:00,z 09:39:30,4302
432,2023/9/4,688088.SH,SELL,z 09:30:00,z 09:39:30,17000
434,2023/9/4,688106.SH,SELL,z 09:30:00,z 09:39:30,38700
435,2023/9/4,688139.SH,SELL,z 09:30:00,z 09:39:30,20465
437,2023/9/4,688148.SH,SELL,z 09:30:00,z 09:39:30,34200
438,2023/9/4,688150.SH,SELL,z 09:30:00,z 09:39:30,20400
439,2023/9/4,688152.SH,SELL,z 09:30:00,z 09:39:30,4800
443,2023/9/4,688206.SH,SELL,z 09:30:00,z 09:39:30,5100
444,2023/9/4,688207.SH,SELL,z 09:30:00,z 09:39:30,4900
447,2023/9/4,688253.SH,SELL,z 09:30:00,z 09:39:30,18800
448,2023/9/4,688311.SH,SELL,z 09:30:00,z 09:39:30,42000
449,2023/9/4,688390.SH,SELL,z 09:30:00,z 09:39:30,6900
450,2023/9/4,688432.SH,SELL,z 09:30:00,z 09:39:30,500
451,2023/9/4,688479.SH,SELL,z 09:30:00,z 09:39:30,6800
453,2023/9/4,688501.SH,SELL,z 09:30:00,z 09:39:30,5200
454,2023/9/4,688557.SH,SELL,z 09:30:00,z 09:39:30,21104
459,2023/9/4,688626.SH,SELL,z 09:30:00,z 09:39:30,1000
460,2023/9/4,688677.SH,SELL,z 09:30:00,z 09:39:30,27500
462,2023/9/4,688698.SH,SELL,z 09:30:00,z 09:39:30,4300
465,2023/9/4,688777.SH,SELL,z 09:30:00,z 09:39:30,1600
