time,askprice_0,bidprice_0,cache_len,vwap,cache_size
95406000,261900,261800,30, 262117.59036144576,30
95409000,261700,261600,30, 262096.6216216216,30
95412000,261700,261600,30, 262094.5701357466,30
95415000,261700,261600,30, 262093.6794582393,30
95418000,261700,261600,30, 262079.99999999997,30
95421000,261600,261400,30, 261978.06324110672,30
95424000,261500,261400,30, 261964.80000000002,30
95427000,261600,261500,30, 261944.48818897636,30
95430000,261600,261400,30, 261929.40038684718,30
95433000,261600,261500,30, 261910.5675146771,30
95436000,261700,261600,30, 261890.35916824196,30
95439000,261700,261600,30, 261884.3984962406,30
95442000,261700,261600,30, 261883.42749529192,30
95445000,261700,261600,30, 261830.67729083664,30
95448000,261700,261600,30, 261830.67729083664,30
95451000,261700,261600,30, 261824.04040404042,30
95454000,261700,261600,30, 261810.73684210528,30
95457000,261500,261400,30, 261779.2,30
95500000,261500,261400,30, 261768.6,30
95503000,261600,261500,30, 261762.72912423624,30
95506000,261700,261600,30, 261758.6693548387,30
95509000,261600,261500,30, 261665.09186351707,30
95512000,261600,261500,30, 261662.17616580313,30
95515000,261600,261500,30, 261657.53768844221,30
95518000,261600,261500,30, 261640.15957446807,30
95521000,261600,261400,30, 261604.72440944883,30
95524000,261600,261400,30, 261599.22480620153,30
95527000,261600,261500,30, 261598.20971867006,30
95530000,261700,261600,30, 261600.98039215687,30
95533000,261700,261600,30, 261593.3168316832,30
95536000,261700,261600,30, 261579.26509186352,30
95539000,261800,261600,30, 261582.39795918367,30
95542000,261800,261600,30, 261586.1386138614,30
95545000,261800,261600,30, 261584.8484848485,30
95548000,261800,261700,30, 261579.5918367347,30
95551000,261800,261700,30, 261583.56164383562,30
95554000,261800,261700,30, 261591.36690647484,30
95557000,261800,261700,30, 261593.9393939394,30
95600000,262000,261800,30, 261617.26378705216,30
95603000,262000,261800,30, 261630.6778604685,30
95606000,262000,261900,30, 261636.44421464714,30
95609000,262100,262000,30, 261652.056641942,30
95612000,262100,262000,30, 261650.85388994307,30
95615000,262100,262000,30, 261650.85388994307,30
95618000,262100,261900,30, 261683.17829197034,30
95621000,262000,261900,30, 261683.17829197034,30
95624000,262000,261900,30, 261713.46103384937,30
95627000,262000,261900,30, 261723.83262116485,30
95630000,262100,261900,30, 261739.46389538675,30
95633000,262100,262000,30, 261744.40485246424,30
95636000,262100,262000,30, 261750.01034040615,30
95639000,262100,262000,30, 261756.79687831362,30
95642000,262100,261900,30, 261777.9607401309,30
95645000,262100,261900,30, 261782.49989024014,30
95648000,262100,261900,30, 261836.79629722796,30
95651000,261900,261800,30, 261845.48220664109,30
95654000,261900,261700,30, 261847.65957446807,30
95657000,261900,261800,30, 261861.92660550456,30
95700000,261800,261700,30, 261867.77251184836,30
95703000,261800,261700,30, 261872.81553398058,30
95706000,261800,261700,30, 261884.18367346938,30
95709000,261700,261600,30, 261879.5,30
95712000,261700,261600,30, 261872.68292682926,30
95715000,261600,261500,30, 261868.75,30
95718000,261600,261500,30, 261868.11594202896,30
95721000,261600,261500,30, 261868.44660194175,30
95724000,261600,261500,30, 261855.39906103286,30
95727000,261600,261500,30, 261856.8436879128,30
95730000,261500,261400,30, 261840.75484191361,30
95733000,261600,261400,30, 261814.56884380066,30
95736000,261700,261600,30, 261761.62536973282,30
95739000,261700,261600,30, 261757.45693880407,30
95742000,261700,261600,30, 261754.5293556736,30
95745000,261700,261600,30, 261719.09591721155,30
95748000,261600,261500,30, 261717.88207715438,30
95751000,261600,261500,30, 261712.13793828525,30
95754000,261600,261500,30, 261706.25679242352,30
95757000,261600,261500,30, 261690.38285990444,30
95800000,261600,261500,30, 261690.38285990444,30
95803000,261700,261600,30, 261674.3441788295,30
95806000,261700,261600,30, 261669.41525703247,30
95809000,261700,261600,30, 261654.20064662452,30
95812000,261800,261600,30, 261654.4676149703,30
95815000,261800,261700,30, 261657.1002935635,30
95818000,261900,261800,30, 261640.97392306585,30
95821000,261900,261800,30, 261635.17587939696,30
95824000,261900,261800,30, 261640.6862745098,30
95827000,261900,261800,30, 261691.30434782608,30
95830000,261900,261800,30, 261695.73643410852,30
95833000,261900,261800,30, 261695.3125,30
95836000,262000,261900,30, 261720.49712211752,30
95839000,262100,261900,30, 261730.56845591677,30
95842000,262100,261900,30, 261732.60325633682,30
